marketplacename,stock,tahunterbit,hargabuku,berat,lembartotal,status,urgent,tipetransaksi,servicefee,jumlah_order,jumlahcetak,kategoriutama,kategorisekunder,kategoritersier,statussku,tahun_transaksi,bulan_transaksi,hari_transaksi,dayofyear
3,0,2018.0,168000,0.0,152.0,1,0,0,15624,1,0,5,40,53,0,2023,2,7,38
3,0,2019.0,103000,0.0,67.0,1,0,0,9072,1,1,3,13,53,0,2023,2,7,38
5,0,2022.0,112000,0.0,120.0,1,0,0,44550,10,0,0,27,53,0,2023,2,7,38
3,0,2018.0,71500,0.0,23.0,3,0,0,0,1,0,4,55,53,0,2023,2,7,38
3,1,2022.0,79000,0.0,36.0,3,0,0,0,2,2,8,20,36,0,2023,2,7,38
3,1,2010.0,79500,0.0,37.0,3,0,0,0,1,0,0,27,53,0,2023,2,7,38
3,0,2022.0,89000,0.0,59.0,1,0,0,7334,1,1,5,41,53,0,2023,2,7,38
3,1,2012.0,86000,0.0,47.0,1,0,0,0,1,2,7,71,53,0,2023,2,7,38
3,0,2019.0,103500,0.0,70.0,1,0,0,28073,1,1,10,24,53,0,2023,2,7,38
3,0,2019.0,201000,0.0,59.0,1,0,0,28073,1,1,10,33,53,0,2023,2,7,38
3,0,2022.0,191000,0.0,59.0,3,0,0,0,1,1,8,67,18,0,2023,2,7,38
3,2,2019.0,125000,0.0,64.0,3,0,0,0,1,1,10,47,5,1,2023,2,7,38
6,370,2022.0,109000,0.0,59.0,1,0,1,0,1,2,11,54,53,1,2023,2,7,38
3,0,2018.0,139000,0.0,121.0,1,0,0,0,1,1,6,81,41,0,2023,2,7,38
3,1,2012.0,86000,0.0,47.0,1,0,0,0,1,2,7,71,53,0,2023,2,7,38
3,0,2018.0,139000,0.0,121.0,1,0,0,0,1,1,6,81,41,0,2023,2,7,38
3,0,2020.0,171000,0.0,113.0,3,0,0,0,1,1,4,37,61,1,2023,2,7,38
3,0,2021.0,54000,0.0,23.0,3,0,0,0,1,2,1,68,53,0,2023,2,7,38
3,0,2019.0,77000,0.0,59.0,3,0,0,0,1,1,11,48,53,0,2023,2,7,38
5,0,2018.0,168000,0.0,152.0,1,0,0,16473,1,0,5,40,53,0,2023,2,7,38
5,0,2014.0,86000,0.0,46.0,1,0,0,16473,1,2,5,41,53,0,2023,2,7,38
